Feature,Importance
Age,0.266118467869989
family_history_with_overweight_yes,0.07955750700637369
Gender_Male,0.07633769828154158
FAF,0.07616303159672297
NCP,0.06962988501353673
CH2O,0.0590443237254077
FCVC,0.05199546894137091
CAEC_Frequently,0.051895042113892426
TUE,0.04788058530427417
CALC_no,0.04502839859017092
CAEC_Sometimes,0.04242774989406374
FAVC_yes,0.041233897399289406
CALC_Sometimes,0.03988566136114502
outlier_flag,0.023361390811738603
CAEC_no,0.017869024396818322
CALC_Frequently,0.011571867693664906
