Feature,Importance
FCVC,0.21916609805139736
Age,0.14361069175691665
Gender_Male,0.10885572078288087
family_history_with_overweight_yes,0.08288563132633124
TUE,0.0691581385087324
NCP,0.060157606884624154
CAEC_Frequently,0.05542848210240277
FAF,0.046341074056156166
CAEC_Sometimes,0.04554180283059989
CALC_Sometimes,0.04120470100399909
CH2O,0.03751749696998248
CALC_no,0.03310129315170369
outlier_flag,0.026474411295998132
FAVC_yes,0.019075659143308565
CAEC_no,0.008815677092527568
CALC_Frequently,0.00266551504243898
